Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.1733	1996-02-13	1996-03-13	1996-03-15	1996-03-29	Unknown	Regular	Quarter
$0.1733	1995-11-14	1995-12-13	1995-12-15	1995-12-29	Unknown	Regular	Quarter
$0.1667	1995-08-18	1995-09-13	1995-09-15	1995-09-29	Unknown	Regular	Quarter
$0.1667	1995-05-16	1995-06-13	1995-06-15	1995-06-30	Unknown	Regular	Quarter
$0.1667	1995-02-06	1995-03-09	1995-03-15	1995-03-31	Unknown	Regular	Quarter
$0.1667	1994-12-05	1994-12-09	1994-12-15	1994-12-30	Unknown	Regular	Quarter
$0.1600	1994-07-18	1994-09-09	1994-09-15	1994-09-30	Unknown	Regular	Quarter
$0.1600	1994-05-17	1994-06-09	1994-06-15	1994-06-30	Unknown	Regular	Quarter
$0.1600	1994-02-15	1994-03-09	1994-03-15	1994-03-31	Unknown	Regular	Quarter
$0.1067	1993-11-16	1993-12-09	1993-12-15	1993-12-31	Unknown	Regular	Quarter
3-for-2	1993-08-11	1993-10-05	1993-09-15	1993-10-04	NM	Stock Split	NM
$0.1600	1993-08-11	1993-09-09	1993-09-15	1993-09-30	Unknown	Regular	Quarter
$0.1467	1993-05-20	1993-06-09	1993-06-15	1993-06-30	Unknown	Regular	Quarter
$0.1467	1993-02-16	1993-03-09	1993-03-15	1993-03-31	Unknown	Regular	Quarter
